recalling_firm,n_recalls,n_fei,first_action,last_action,normalized_name
"Nonin Medical, Inc",4,1,2007-10-11,2016-09-29,NONIN MEDICAL
Maquet Inc,4,1,2005-01-03,2005-05-20,MAQUET
Nicolet Biomedical Div of Viasys Healthcare,4,1,2006-04-28,2007-09-11,NICOLET BIOMEDICAL DIV OF VIASYS HEALTHCARE
"Mini-Mitter Company, Inc.",4,1,2007-06-27,2007-06-27,MINI MITTER
"Mirion Technologies (Capintec), Inc.",4,1,2023-11-27,2024-04-22,MIRION TECHNOLOGIES CAPINTEC
Esaote Biomedica S.P.A. c/o The Anson Group,4,0,2003-12-23,2003-12-23,ESAOTE BIOMEDICA S P A C O ANSON
"Insight Instruments, Inc.",4,1,2010-05-12,2013-06-27,INSIGHT INSTRUMENTS
Leonhard Lang Medizintechnik GmbH Archenweg 56 Innsbruck Austria,4,1,2015-02-24,2017-08-08,LEONHARD LANG MEDIZINTECHNIK ARCHENWEG 56 INNSBRUCK AUSTRIA
Ivoclar Vivadent AG Benderer Strasse 2 Schaan Liechtenstein,4,1,2020-04-13,2020-04-13,IVOCLAR VIVADENT BENDERER STRASSE 2 SCHAAN LIECHTENSTEIN
Parks Medical Electronics Inc,4,1,2007-11-08,2007-11-08,PARKS MEDICAL ELECTRONICS
"HF Acquisition Co., LLC",4,1,2020-06-04,2020-06-04,HF ACQUISITION
"Getinge Group Logistics America, LLC",4,1,2020-09-17,2021-02-11,GETINGE LOGISTICS AMERICA
Etac Supply Center Ab Langgatan 12 Anderstorp Sweden,4,1,2012-04-06,2015-07-12,ETAC SUPPLY CENTER LANGGATAN 12 ANDERSTORP SWEDEN
INO Therapeutics (dba Ikaria),4,1,2014-03-27,2016-11-21,INO THERAPEUTICS IKARIA
"Mizuho America, Inc.",4,1,2013-10-10,2019-09-11,MIZUHO AMERICA
Microgenics Corp,4,1,2011-06-08,2013-10-16,MICROGENICS
NovaSignal Corp.,4,1,2022-12-16,2024-05-06,NOVASIGNAL
Molded Products Inc,4,1,2012-06-19,2026-02-17,MOLDED PRODUCTS
"GE Medical Systems China Co., Ltd. National Hi-Tech No.",4,1,2018-07-24,2023-09-08,GE MEDICAL SYSTEMS CHINA NATIONAL HI TECH NO
Extremity Medical LLC,4,1,2011-04-13,2013-01-10,EXTREMITY MEDICAL
"Medtronic Sofamor Danek Usa, Inc Dallas Distribution",4,1,2009-11-30,2016-05-13,MEDTRONIC SOFAMOR DANEK DALLAS DISTRIBUTION
Krishe Inc,4,1,2021-03-11,2021-03-11,KRISHE
NOVADAQ TECHNOLOGIES INC.,4,1,2016-08-18,2017-06-27,NOVADAQ TECHNOLOGIES
Lumenis Inc.,4,1,2005-04-08,2006-08-29,LUMENIS
Meta C.G.M. Spa Via Modena 22-24 Correggio Italy,4,1,2021-04-26,2021-04-26,META C G M VIA MODENA 22 24 CORREGGIO ITALY
"Omega Medical Imaging, Inc.",4,1,2016-06-21,2023-09-08,OMEGA MEDICAL IMAGING
"Integra York PA, Inc",4,1,2014-07-30,2016-10-28,INTEGRA YORK PA
"Ortho Kinematics, Inc",4,1,2016-08-12,2018-05-23,ORTHO KINEMATICS
PHILIPS HEADQUARTERS CAMBRIDGE,4,1,2023-04-12,2023-04-12,PHILIPS HEADQUARTERS CAMBRIDGE
Inverness Medical Professional Diagnostics,4,2,2006-09-29,2010-02-12,INVERNESS MEDICAL PROFESSIONAL DIAGNOSTICS
InfuTronix LLC,4,1,2019-05-28,2024-02-21,INFUTRONIX
"Kamiya Biomedical Company, LLC",4,1,2008-09-17,2022-09-28,KAMIYA BIOMEDICAL
NAImco Inc dba Richmar Inc,4,1,2009-11-30,2009-11-30,NAIMCO RICHMAR
"MICROspecialties, Inc.",4,1,2024-06-05,2024-06-05,MICROSPECIALTIES
Fetzer Medical GmbH & Co. KG Unter Buchsteig 5 Tuttlingen Germany,4,1,2018-12-28,2018-12-28,FETZER MEDICAL AND KG UNTER BUCHSTEIG 5 TUTTLINGEN GERMANY
MEDTECH SAS 900 Rue Du Mas De Verchant Montpellier France,4,1,2019-09-10,2021-09-22,MEDTECH SAS 900 RUE DU MAS DE VERCHANT MONTPELLIER FRANCE
Hettich Instruments Management I,4,1,2009-11-21,2009-11-21,HETTICH INSTRUMENTS MANAGEMENT I
Harvard Clinical Technology,4,1,2003-08-11,2004-11-03,HARVARD CLINICAL TECHNOLOGY
"Medtronic Sofamor Danek USA, Inc",4,1,2021-03-17,2023-07-12,MEDTRONIC SOFAMOR DANEK
"Murata Vios, Inc.",4,1,2021-06-21,2024-08-09,MURATA VIOS
Fisher Diagnostics,4,1,2017-05-19,2025-03-06,FISHER DIAGNOSTICS
Neocis Inc.,4,1,2019-10-04,2020-05-14,NEOCIS
Greiner VACUETTE North America,4,1,2003-03-10,2005-07-28,GREINER VACUETTE NORTH AMERICA
Hardy Media Inc Dba Hardy Diag,4,1,2003-06-25,2006-08-21,HARDY MEDIA HARDY DIAG
HemoCue AB Kuvettgaten 1 Angelholm Sweden,4,1,2012-11-07,2013-07-25,HEMOCUE KUVETTGATEN 1 ANGELHOLM SWEDEN
Inova Diagnostics Incorporated,4,1,2009-10-28,2018-01-26,INOVA DIAGNOSTICS
"New Star Lasers, Inc.",4,1,2015-05-13,2016-09-19,NEW STAR LASERS
New Standard Device Inc,4,1,2019-07-23,2020-12-28,NEW STANDARD DEVICE
FujiFilm Healthcare Americas Corporation,4,1,2021-10-14,2021-10-14,FUJIFILM HEALTHCARE AMERICAS
Monteris Medical Corp,4,1,2014-10-03,2017-10-05,MONTERIS MEDICAL
"Imaging Sciences International, LLC",4,1,2009-01-08,2012-07-30,IMAGING SCIENCES
Integrated Orbital Implants Inc,4,1,2006-02-27,2011-05-20,INTEGRATED ORBITAL IMPLANTS
Heraeus Kulzer Inc.,4,1,2003-11-01,2003-11-01,HERAEUS KULZER
"Justright Surgical, LLC",4,1,2014-08-27,2015-06-11,JUSTRIGHT SURGICAL
"Fujifilm Irvine Scientific, Inc.",4,1,2021-09-08,2023-11-02,FUJIFILM IRVINE SCIENTIFIC
North American Rescue LLC.,4,1,2020-08-21,2026-03-27,NORTH AMERICAN RESCUE
GE Healthcare Japan Corporation Ge Herusukea.Japan Kabu 4 Chome 7-127 Asahigaoka Hino Japan,4,1,2018-04-27,2018-04-27,GE HEALTHCARE JAPAN GE HERUSUKEA JAPAN KABU 4 CHOME 7 127 ASAHIGAOKA HINO JAPAN
Limacorporate S.p.A Via Nazionale 52 San Daniele Del Friuli Italy,4,1,2015-08-14,2016-07-21,LIMACORPORATE S P A VIA NAZIONALE 52 SAN DANIELE DEL FRIULI ITALY
North Coast Medi-Tek Inc,4,1,2004-06-23,2011-05-13,NORTH COAST MEDI TEK
Hitachi Healthcare Americas Corporation,4,1,2021-06-30,2021-07-29,HITACHI HEALTHCARE AMERICAS
"Express Diagnostics Int'l., Inc.",4,1,2010-10-04,2014-11-21,EXPRESS DIAGNOSTICS INT L
Resource Optimization & Innovation LLC,4,1,2020-05-04,2022-02-28,RESOURCE OPTIMIZATION AND INNOVATION
"Alcon Research, Ltd",4,1,2005-09-02,2008-03-07,ALCON RESEARCH
Del Medical Systems Group,4,1,2004-02-13,2009-01-12,DEL MEDICAL SYSTEMS
"Abbott Diagnostic International, Ltd. Carr 2 Km 58.0 Cruce Davila",4,1,2006-09-07,2006-09-08,ABBOTT DIAGNOSTIC CARR 2 KM 58 0 CRUCE DAVILA
Dentsply Friadent Ceramed,4,1,2005-02-17,2006-11-17,DENTSPLY FRIADENT CERAMED
Dental Equipment LLC,4,1,2007-05-01,2011-05-27,DENTAL EQUIPMENT
DentSply Professional Division,4,1,2003-10-14,2003-10-14,DENTSPLY PROFESSIONAL DIVISION
Stille AB Gardsvagen,4,1,2008-08-27,2009-11-03,STILLE GARDSVAGEN
C P Medical Inc.,4,1,2009-01-02,2014-04-23,C P MEDICAL
C P Medical,4,1,2007-04-03,2008-09-17,C P MEDICAL
"X-NAV Technologies, LLC",4,1,2016-02-23,2024-03-04,X NAV TECHNOLOGIES
Clark Research and Development Inc Number,4,1,2007-01-19,2007-01-19,CLARK RESEARCH AND DEVELOPMENT NUMBER
"Sedecal USA, Inc.",4,1,2002-09-24,2015-03-23,SEDECAL
TMJ Solutions Inc,4,1,2018-03-12,2026-02-11,TMJ SOLUTIONS
Ram Medical Inc,4,1,2010-03-05,2010-03-05,RAM MEDICAL
Datex-Ohmeda,4,1,2002-09-16,2003-02-12,DATEX OHMEDA
"Datex Ohmeda, Inc. dba GE Healthcare",4,1,2005-08-05,2008-06-20,DATEX OHMEDA GE HEALTHCARE
"Depuy Mitek, a Johnson & Johnson Co.",4,1,2005-08-09,2006-02-17,DEPUY MITEK A JOHNSON AND JOHNSON
Steris Corporation Hopkins Facility,4,1,2007-09-12,2022-08-10,STERIS HOPKINS FACILITY
Becton Dickinson Infusion Therapy Systems Inc.,4,1,2021-09-08,2023-10-04,BECTON DICKINSON INFUSION THERAPY SYSTEMS
AbbVie Inc.,4,1,2016-11-22,2017-04-27,ABBVIE
Beckman Coulter Mishima K.K. 454-32 Higashino; Nagaizumi-Cho Sunto-Gun Japan,4,1,2024-06-05,2025-04-30,BECKMAN COULTER MISHIMA K K 454 32 HIGASHINO NAGAIZUMI CHO SUNTO GUN JAPAN
Aerogen Ltd. Galway Business Park Dangan Galway Ireland,4,1,2014-09-02,2014-09-02,AEROGEN GALWAY BUSINESS PARK DANGAN GALWAY IRELAND
Qiagen GmbH Qiagen Str. 1 Hilden Germany,4,1,2023-05-09,2023-08-22,QIAGEN QIAGEN STR 1 HILDEN GERMANY
Unomedical A/S Aaholmvej,4,1,2022-07-21,2023-10-11,UNOMEDICAL A S AAHOLMVEJ
Blue Belt Technologies MN,4,1,2013-07-19,2014-06-04,BLUE BELT TECHNOLOGIES MN
Chamberlain Technologies LLC,4,1,2022-08-12,2022-08-12,CHAMBERLAIN TECHNOLOGIES
Baylis Medical Corp 5959 TransCanada Highway Montreal Canada,4,1,2013-09-23,2016-10-11,BAYLIS MEDICAL 5959 TRANSCANADA HIGHWAY MONTREAL CANADA
"Unetixs Vascular, Inc.",4,1,2023-02-10,2023-02-10,UNETIXS VASCULAR
Drew Scientific Group PLC,4,1,2006-08-24,2006-09-20,DREW SCIENTIFIC
Pro-Med Instruments Gmbh Botzinger Str. 38 Freiburg Im Breisgau Germany,4,1,2017-11-02,2018-07-05,PRO MED INSTRUMENTS BOTZINGER STR 38 FREIBURG IM BREISGAU GERMANY
Drummond Scientific Co,4,1,2008-08-01,2008-08-01,DRUMMOND SCIENTIFIC
"Terumo BCT, Inc.",4,1,2016-11-03,2017-10-20,TERUMO BCT
Stanley Security Solutions Inc,4,1,2016-06-22,2021-11-17,STANLEY SECURITY SOLUTIONS
Brainlab AG Kapellenstr. 12 Feldkirchen Germany,4,1,2015-09-21,2016-05-04,BRAINLAB KAPELLENSTR 12 FELDKIRCHEN GERMANY
Abbott Laboratories Inc. (St Jude Medical),4,1,2021-04-22,2021-05-05,ABBOTT LABORATORIES ST JUDE MEDICAL
"Alfa Wassermann, Inc.",4,1,2008-08-22,2014-03-05,ALFA WASSERMANN
Rusch Inc,4,1,2004-02-03,2004-02-03,RUSCH
Biomet UK Ltd. Waterton Industrial Estate Bridgend United Kingdom,4,1,2018-08-09,2018-08-09,BIOMET UK WATERTON INDUSTRIAL ESTATE BRIDGEND UNITED KINGDOM
Covidien LLC dba Uni-Patch,4,1,2012-02-09,2012-02-09,COVIDIEN UNI PATCH
Accelerate Diagnostics Inc,4,1,2017-03-13,2022-10-17,ACCELERATE DIAGNOSTICS
"Accord Media, LLC Apartment",4,1,2017-12-04,2017-12-04,ACCORD MEDIA APARTMENT
"Safe N Simple, LLC",4,1,2012-06-18,2018-08-22,SAFE N SIMPLE
Surgical Innovations Ltd 6 Clayton Wood Bank Lds Leeds United Kingdom,4,1,2022-01-20,2023-03-28,SURGICAL INNOVATIONS 6 CLAYTON WOOD BANK LDS LEEDS UNITED KINGDOM
Altasource LLC dba Meta Labs LLC,4,1,2014-02-03,2014-02-03,ALTASOURCE META LABS
"Dale Medical Products, Inc.",4,1,2007-09-27,2017-03-24,DALE MEDICAL PRODUCTS
Versea Diagnostics LLC,4,1,2021-07-27,2021-07-27,VERSEA DIAGNOSTICS
"STERILMED, INC.",4,1,2014-09-24,2016-04-26,STERILMED
Accutron Inc,4,1,2012-04-29,2012-04-29,ACCUTRON
SALTER LABS,4,1,2011-10-21,2013-11-01,SALTER LABS
Acutus Medical Inc,4,1,2020-02-25,2020-02-25,ACUTUS MEDICAL
"SIGHT DIAGNOSTICS LTD 23, Derekh Menakhem Begin Tel Aviv-Yafo Israel",4,1,2021-03-17,2024-05-13,SIGHT DIAGNOSTICS 23 DEREKH MENAKHEM BEGIN TEL AVIV YAFO ISRAEL
Creganna Medical Devices Parkmore West Galway Ireland,4,1,2017-05-22,2017-05-22,CREGANNA MEDICAL DEVICES PARKMORE WEST GALWAY IRELAND
Surgical Specialties Puerto Rico Inc. dba Angiotech PR Inc. Rd,4,1,2012-08-15,2012-08-15,SURGICAL SPECIALTIES PUERTO RICO ANGIOTECH PR RD
Biomerieux France Chemin De L'Or Chemin De L'Orme Marcy L'Etoile France,4,1,2013-11-08,2016-04-15,BIOMERIEUX FRANCE CHEMIN DE L OR CHEMIN DE L ORME MARCY L ETOILE FRANCE
"Custom Ultrasonics, Inc.",4,1,2005-12-12,2016-05-06,CUSTOM ULTRASONICS
Cybernet Systems Corp.,4,1,2008-01-23,2008-01-23,CYBERNET SYSTEMS
Restoration Robotics,4,1,2013-10-13,2013-10-13,RESTORATION ROBOTICS
"AdvanDx, Inc.",4,1,2010-06-08,2013-12-11,ADVANDX
"Sarnova HC, Llc",4,1,2023-11-06,2024-02-12,SARNOVA HC
Ambu Incorporated,4,1,2007-08-21,2007-08-21,AMBU
Abbott Vascular Inc,4,1,2024-11-06,2024-11-06,ABBOTT VASCULAR
DJ Orthopedics de Mexico S.A. de C.V. Carretera Libre Tijuana-Tecate 20230 Submetropoli El Florido Tijuana Mexico,4,1,2021-04-12,2021-04-12,DJ ORTHOPEDICS DE MEXICO S A DE C V CARRETERA LIBRE TIJUANA TECATE 20230 SUBMETROPOLI EL FLORIDO TIJUANA MEXICO
Summit Industries Inc.,4,1,2007-08-10,2014-10-28,SUMMIT INDUSTRIES
Synaptive Medical Inc,4,1,2018-10-09,2021-04-23,SYNAPTIVE MEDICAL
"Collagen Matrix, Inc.",4,1,2018-08-16,2021-12-13,COLLAGEN MATRIX
Wahl Clipper Corp,4,1,2004-12-10,2020-12-15,WAHL CLIPPER
"Reflexion Medical, Inc.",4,1,2021-11-24,2026-02-09,REFLEXION MEDICAL
Synvasive Technology Inc,4,1,2013-03-14,2018-07-27,SYNVASIVE TECHNOLOGY
Princeton Biomeditech Corp,4,1,2012-03-09,2024-08-23,PRINCETON BIOMEDITECH
W. L. Gore & Associates Inc.,4,1,2019-11-18,2021-07-12,W L GORE AND ASSOCIATES
AAP Implantate Ag Lorenzweg 5 Berlin Germany,4,1,2019-01-11,2019-11-28,AAP IMPLANTATE LORENZWEG 5 BERLIN GERMANY
Tytek Medical Inc,4,1,2019-11-15,2020-10-05,TYTEK MEDICAL
Carl Zeiss Meditec Inc,4,1,2009-05-18,2011-03-10,CARL ZEISS MEDITEC
BD Biosciences,4,1,2007-04-05,2007-12-21,BD BIOSCIENCES
Viterion TeleHealthcare Llc,4,1,2011-05-25,2012-11-15,VITERION TELEHEALTHCARE
"Smiths Medical PM, Inc. N7",4,1,2008-12-22,2010-01-15,SMITHS MEDICAL PM N7
Zoe Medical Incorporated,4,1,2009-02-02,2024-08-13,ZOE MEDICAL
"Spectrum Medical Ltd. Harrier 4, Meteor Business Park Cheltenham Road East Gloucester United Kingdom",4,1,2019-05-29,2025-03-19,SPECTRUM MEDICAL HARRIER 4 METEOR BUSINESS PARK CHELTENHAM ROAD EAST GLOUCESTER UNITED KINGDOM
Thor Photomedicine Ltd Watermeadow House Chesham United Kingdom,4,1,2022-09-13,2022-09-13,THOR PHOTOMEDICINE WATERMEADOW HOUSE CHESHAM UNITED KINGDOM
Canadian Hospital Specialties,4,1,2018-06-11,2022-08-19,CANADIAN HOSPITAL SPECIALTIES
Camlog Usa,4,1,2013-08-28,2013-08-28,CAMLOG
"Carmel Pharma, Inc.",4,1,2007-06-26,2007-06-26,CARMEL PHARMA
Thermo Fisher Scientific,4,2,2007-07-24,2010-09-23,THERMO FISHER SCIENTIFIC
"Spinal Specialties, Inc",4,1,2004-06-18,2005-04-15,SPINAL SPECIALTIES
"AB Sciex, LLC",4,1,2023-08-30,2023-08-30,SCIEX
Eagle Vision Inc,4,1,2006-04-12,2006-04-12,EAGLE VISION
ACMI CORPORATION,4,0,2004-04-30,2004-04-30,ACMI
Elekta Limited Linac House Fleming Way Crawley United Kingdom,4,1,2019-01-04,2020-05-21,ELEKTA LINAC HOUSE FLEMING WAY CRAWLEY UNITED KINGDOM
Carl Zeiss Meditec AG Carl-Zeiss-Promenade 10 Jena Germany,4,1,2018-06-25,2020-12-07,CARL ZEISS MEDITEC CARL ZEISS PROMENADE 10 JENA GERMANY
Trophy Sas 4 Rue Pelloutier Croissy Beaubourg France,4,1,2012-09-18,2012-09-18,TROPHY SAS 4 RUE PELLOUTIER CROISSY BEAUBOURG FRANCE
"Avazzia, Inc",4,1,2007-06-29,2007-06-29,AVAZZIA
"Alcon Research, LTD. 9965 Buffalo Speedway",4,1,2012-05-29,2018-01-12,ALCON RESEARCH 9965 BUFFALO SPEEDWAY
CareFusion 209 Inc.,4,1,2011-10-05,2011-12-16,CAREFUSION 209
Trividia Health,4,1,2016-06-28,2016-06-28,TRIVIDIA HEALTH
"Southmedic, Inc.",4,1,2017-10-17,2022-10-27,SOUTHMEDIC
Carefree Surgical Specialties,4,1,2025-07-01,2025-07-01,CAREFREE SURGICAL SPECIALTIES
PerkinElmer Life Sciences Inc,4,1,2003-05-30,2003-06-27,PERKINELMER LIFE SCIENCES
Arjo Hospital Equipment AB HANS MICHELSENSGATAN,4,1,2014-09-01,2014-12-03,ARJO HOSPITAL EQUIPMENT HANS MICHELSENSGATAN
Carl Zeiss Meditec AG Carl Zeiss Promenade 10 Jena Germany,4,1,2014-02-03,2015-10-27,CARL ZEISS MEDITEC CARL ZEISS PROMENADE 10 JENA GERMANY
"Axiobionics, LLC",4,1,2011-05-27,2011-05-27,AXIOBIONICS
Trokamed GmbH Kleine Breite 17 Geisingen Germany,4,1,2024-11-27,2024-11-27,TROKAMED KLEINE BREITE 17 GEISINGEN GERMANY
"Toray Marketing & Sales (America), Inc",4,1,2003-12-30,2003-12-30,TORAY MARKETING AND SALES AMERICA
B. Braun Interventional Systems,4,1,2007-10-30,2015-06-16,B BRAUN INTERVENTIONAL SYSTEMS
Zoll Lifecor Corporation,4,1,2007-04-27,2010-09-24,ZOLL LIFECOR
Phadia Ab Rapsgatan Plant Rapsgatan 7 Uppsala Sweden,4,1,2017-11-20,2023-05-24,PHADIA RAPSGATAN PLANT RAPSGATAN 7 UPPSALA SWEDEN
Carwild Corporation,4,1,2022-08-02,2024-10-22,CARWILD
"Sunstar Americas, Inc.",4,1,2021-02-18,2022-01-14,SUNSTAR AMERICAS
ETAC A/S Parallelvej 3 Gedved Denmark,4,1,2025-11-17,2025-11-17,ETAC A S PARALLELVEJ 3 GEDVED DENMARK
CSL Behring GmbH Emil-von-Behring-Str. 76 Marburg Germany,4,1,2016-05-17,2018-05-31,CSL BEHRING EMIL VON BEHRING STR 76 MARBURG GERMANY
Bard Peripheral Vas,4,1,2009-03-26,2009-03-26,BARD PERIPHERAL VAS
Bard Endoscopic Technologies,4,1,2003-08-04,2003-08-04,BARD ENDOSCOPIC TECHNOLOGIES
"AMS Diagnostics, LLC",4,1,2014-02-11,2016-02-29,AMS DIAGNOSTICS
"EBI, LLC",4,1,2024-03-22,2024-03-22,EBI
"Agilent Technologies, Inc.",4,1,2015-06-17,2025-03-20,AGILENT TECHNOLOGIES
"Possis Medical, Inc",4,1,2005-12-12,2007-06-19,POSSIS MEDICAL
"Ultroid Technologies, Inc.",4,1,2016-10-19,2016-10-19,ULTROID TECHNOLOGIES
Theken Spine LLC,4,1,2005-10-04,2008-08-27,THEKEN SPINE
Power Surgical Solutions,4,1,2004-11-03,2005-09-01,POWER SURGICAL SOLUTIONS
St Jude Medical Cardiac Rhythm Management Division,4,1,2014-08-19,2015-11-03,ST JUDE MEDICAL CARDIAC RHYTHM MANAGEMENT DIVISION
Applied Biotech Inc,4,1,2005-05-31,2006-09-28,APPLIED BIOTECH
"Polymedco, Inc",4,1,2003-12-03,2013-02-12,POLYMEDCO
"Thera Test Laboratories, Inc.",4,1,2006-01-11,2020-10-05,THERA TEST LABORATORIES
Stryker Biotech,3,1,2006-08-16,2010-10-25,STRYKER BIOTECH
"Neuro Kinetics, Inc.",3,1,2013-11-21,2015-07-21,NEURO KINETICS
"Sun Biomedical Laboratories, Inc.",3,1,2008-05-28,2008-05-28,SUN BIOMEDICAL LABORATORIES
"Boehringer Laboratories, Inc.",3,1,2005-08-01,2005-08-01,BOEHRINGER LABORATORIES
"Hartmann USA, Inc",3,1,2011-02-11,2012-05-14,HARTMANN
"JK Products & Services, Inc",3,1,2005-07-08,2014-07-25,JK PRODUCTS AND SERVICES
Harry J Bosworth Company,3,1,2004-09-23,2004-10-13,HARRY J BOSWORTH
Stihler Electronic Gmbh Julius-Holder-Str. 36 Stuttgart Germany,3,1,2018-09-06,2018-09-06,STIHLER ELECTRONIC JULIUS HOLDER STR 36 STUTTGART GERMANY
HK Surgical Inc,3,1,2004-12-03,2004-12-03,HK SURGICAL
"Neusoft Medical Systems Co., Ltd. No. 177-1 Cuangxin Road Hunnan District Shenyang China",3,1,2018-10-22,2018-10-22,NEUSOFT MEDICAL SYSTEMS NO 177 1 CUANGXIN ROAD HUNNAN DISTRICT SHENYANG CHINA
Boehringer Laboratories Inc,3,1,2003-11-07,2004-05-19,BOEHRINGER LABORATORIES
"Capso Vision, Inc.",3,1,2019-07-03,2020-02-26,CAPSO VISION
"Myelotec, Inc.",3,1,2007-12-19,2017-03-02,MYELOTEC
"CORNEAT VISION, LTD. 4, Ha-Sheizaf Ra'Anana Israel",3,1,2024-10-16,2025-08-18,CORNEAT VISION 4 HA SHEIZAF RA ANANA ISRAEL
Harmony Brands Llc,3,1,2005-03-25,2005-03-25,HARMONY BRANDS
Starion Instruments,3,1,2008-02-06,2010-03-09,STARION INSTRUMENTS
CLINICAL LASERTHERMIA SYSTEMS AB Scheelevagen,3,1,2021-04-01,2021-04-01,CLINICAL LASERTHERMIA SYSTEMS SCHEELEVAGEN
"Hitachi America, Ltd., Particle Therapy Division",3,1,2024-05-27,2024-05-27,HITACHI AMERICA PARTICLE THERAPY DIVISION
"Southmedic, Inc. 50 Alliance Blvd. Barrie Canada Ontario",3,1,2010-09-03,2010-09-03,SOUTHMEDIC 50 ALLIANCE BLVD BARRIE CANADA ONTARIO
Handicare AB Maskinvagen,3,1,2016-06-15,2020-08-21,HANDICARE MASKINVAGEN
"Haimen Shengbang Laboratory Equipment Co. Ltd.
 D, Sanhe
 No. 50 Xue Qian Road; Sanhezhen Haimen
 Nantong China",3,1,2022-07-12,2022-07-12,HAIMEN SHENGBANG LABORATORY EQUIPMENT D SANHE NO 50 XUE QIAN ROAD SANHEZHEN HAIMEN NANTONG CHINA
"Stanbio Laboratory, Inc",3,1,2006-09-18,2006-09-18,STANBIO LABORATORY
"Neurotherm, Inc.",3,1,2008-07-28,2013-10-09,NEUROTHERM
HF Acquisition Co LLC,3,1,2024-12-11,2026-04-13,HF ACQUISITION
"Blue Belt Technologies, Inc",3,1,2023-09-07,2024-05-07,BLUE BELT TECHNOLOGIES
Hamamatsu Corporation,3,1,2011-03-30,2023-06-06,HAMAMATSU
Marina Medical Instruments Inc.,3,1,2009-04-09,2009-04-09,MARINA MEDICAL INSTRUMENTS
"Summit Medical, Inc.",3,1,2013-03-27,2015-09-03,SUMMIT MEDICAL
CP Medical Inc,3,1,2017-02-02,2019-10-18,CP MEDICAL
Brentwood Medical Technology Corp,3,1,2010-05-18,2010-05-18,BRENTWOOD MEDICAL TECHNOLOGY
NRT X-RAY A/S Birkegardsvej 16 Hasselager Denmark,3,1,2023-04-27,2024-04-17,NRT X RAY A S BIRKEGARDSVEJ 16 HASSELAGER DENMARK
"Braun, B Medical Inc",3,1,2003-04-14,2004-04-16,BRAUN B MEDICAL
Allergan Inc,3,1,2015-06-08,2015-06-18,ALLERGAN
"Hemo Cue, Inc.",3,1,2010-10-07,2011-05-30,HEMO CUE
Brasseler USA I Lp,3,2,2019-10-18,2024-01-11,BRASSELER I
Handicare Usa Inc,3,1,2017-09-08,2017-11-03,HANDICARE
Stryker Imaging,3,1,2009-07-31,2009-08-31,STRYKER IMAGING
Brius Technologies Inc.,3,1,2022-02-07,2022-02-07,BRIUS TECHNOLOGIES
Visaris DOO Batajnicki Drum 10 Deo 1B Belgrade,3,1,2018-04-05,2018-04-05,VISARIS DOO BATAJNICKI DRUM 10 DEO 1B BELGRADE
"Healthmark Industries Co., Inc.",3,1,2025-05-02,2026-03-12,HEALTHMARK INDUSTRIES
"Matrix Surgical Holdings, LLC",3,1,2017-01-25,2019-01-30,MATRIX SURGICAL
"Sterilmed, Inc.",3,1,2018-09-17,2025-10-08,STERILMED
"Henry Schein, Inc.",3,1,2003-06-27,2011-11-10,HENRY SCHEIN
Allen Medical Systems,3,1,2017-10-06,2018-02-21,ALLEN MEDICAL SYSTEMS
Hidrex GmbH Otto-Hahn-Str. 12 Heiligenhaus Germany,3,1,2017-01-30,2017-01-30,HIDREX OTTO HAHN STR 12 HEILIGENHAUS GERMANY
NOXBOX LTD,3,1,2023-07-19,2025-09-09,NOXBOX
Spectrum Designs Inc,3,1,2007-06-15,2007-07-24,SPECTRUM DESIGNS
Busse Hospital Disposables,3,1,2004-04-13,2004-04-13,BUSSE HOSPITAL DISPOSABLES
"Braemar Manufacturing, LLC",3,2,2020-01-22,2024-12-18,BRAEMAR MANUFACTURING
McKesson Provider Technologies Medical Imaging Group,3,1,2010-01-27,2010-06-16,MCKESSON PROVIDER TECHNOLOGIES MEDICAL IMAGING
Iradimed Corporation,3,1,2012-08-24,2023-02-24,IRADIMED
"StatSpin, Inc., dba Iris Sample Processing",3,1,2008-06-20,2010-08-18,STATSPIN IRIS SAMPLE PROCESSING
C-RAD POSITIONING AB Bredgrand 18 Uppsala Sweden,3,1,2020-08-06,2025-10-09,C RAD POSITIONING BREDGRAND 18 UPPSALA SWEDEN
Vilex In Tennessee Inc,3,1,2015-04-22,2015-04-22,VILEX IN TENNESSEE
JAS Diagnostics Inc.,3,1,2014-04-07,2017-04-21,JAS DIAGNOSTICS
CHG Hospital Beds Inc 153 Towerline Place London Canada,3,1,2015-02-18,2016-06-28,CHG HOSPITAL BEDS 153 TOWERLINE PLACE LONDON CANADA
"Visionsense, Ltd. 20, Ha-Magshimim Petakh Tikva Israel",3,1,2022-10-17,2022-10-17,VISIONSENSE 20 HA MAGSHIMIM PETAKH TIKVA ISRAEL
AliMed Corporation,3,1,2008-10-30,2010-02-12,ALIMED
"Bock, Otto, Orthopedic Ind, Inc Two Carlson",3,1,2006-08-10,2014-01-31,BOCK OTTO ORTHOPEDIC IND TWO CARLSON
"Sunrise Medical CCG, Inc.",3,1,2005-11-16,2006-01-01,SUNRISE MEDICAL CCG
The OR Group,3,1,2003-11-06,2003-11-06,OR
Theragenics Corporation,3,1,2005-05-16,2018-10-09,THERAGENICS
Independence Technology LLC,3,1,2004-07-01,2010-02-22,INDEPENDENCE TECHNOLOGY
"Apheresis Technologies, Inc.",3,1,2009-04-01,2012-07-09,APHERESIS TECHNOLOGIES
