sponsor_norm,gvkey,map_source,map_score,compustat_conm,compustat_tic,cik,permno
redhill biopharma,296885,resolved,100.0,REDHILL BIOPHARMA LTD,RDHL,0001553846,13707
relmada therapeutics,020720,resolved,100.0,RELMADA THERAPEUTICS INC,RLMD,0001553643,19024
relypsa,018976,resolved,100.0,RELYPSA INC,RLYP,0001416792,14321
replidyne,174158,resolved,100.0,REPLIDYNE INC,RDYN,,91365
repligen,012181,resolved,100.0,REPLIGEN CORP,RGEN,0000730272,10200
replimune,033719,resolved,100.0,REPLIMUNE GROUP INC,REPL,0001737953,17974
repros therapeutics,027988,resolved,100.0,REPROS THERAPEUTICS INC,RPRX.1,0000897075,79025
regeneron pharmaceuticals,023812,resolved,100.0,REGENERON PHARMACEUTICALS,REGN,0000872589,76614
protalix,062592,resolved,100.0,PROTALIX BIOTHERAPEUTICS INC,PLX,0001006281,86080
schering plough,009459,resolved,100.0,SCHERING-PLOUGH,SGP,,25013
sciclone pharmaceuticals,025047,resolved,100.0,SCICLONE PHARMACEUTICALS LLC,SCLN,0000880771,77413
taiwan liposome,308989,resolved,100.0,TAIWAN LIPOSOME CO LTD,TLC,0001722890,18262
syros pharmaceuticals,027392,resolved,100.0,SYROS PHARMACEUTICALS INC,SYRS,0001556263,16111
synta pharmaceuticals,162770,resolved,100.0,SYNTA PHARMACEUTICALS CORP,SNTA,,91832
synlogic,032365,resolved,100.0,SYNLOGIC INC,SYBX,0001527599,15787
syndax pharmaceuticals,020649,resolved,100.0,SYNDAX PHARMACEUTICALS INC,SNDX,0001395937,15976
sutro biopharma,034065,resolved,100.0,SUTRO BIOPHARMA INC,STRO,0001382101,18128
supernus pharmaceuticals,186159,resolved,100.0,SUPERNUS PHARMACEUTICALS INC,SUPN,0001356576,13410
sunesis pharmaceuticals,162585,resolved,100.0,SUNESIS PHARMACEUTICALS INC,SNSS,,90907
summit therapeutics,271357,resolved,100.0,SUMMIT THERAPEUTICS INC,SMMT,0001599298,19849
stereotaxis,160375,resolved,100.0,STEREOTAXIS INC,STXS,0001289340,90325
spruce biosciences,037105,resolved,100.0,SPRUCE BIOSCIENCES INC,SPRB,0001683553,19993
springworks therapeutics,035600,resolved,100.0,SPRINGWORKS THERAPEUTICS INC,SWTX,0001773427,18961
spero therapeutics,032525,resolved,100.0,SPERO THERAPEUTICS INC,SPRO,0001701108,17044
spark therapeutics,022709,resolved,100.0,SPARK THERAPEUTICS INC,ONCE,0001609351,15183
sophiris bio,154414,resolved,100.0,SOPHIRIS BIO INC,SPHS,0001563855,14105
scilex pharmaceuticals,037707,resolved,100.0,SCILEX HOLDING CO,SCLX,0001820190,20884
scolr pharma,062288,resolved,100.0,SCOLR PHARMA INC,SCLR,0000934936,90049
scpharmaceuticals,032601,resolved,100.0,SCPHARMACEUTICALS INC,SCPH,0001604950,17122
scynexis,020040,resolved,100.0,SCYNEXIS INC,SCYX,0001178253,14668
seagen,141460,resolved,100.0,SEAGEN INC,SGEN,0001060736,88949
